edad,antiguedad_meses,plan,cargo_mensual,llamadas_soporte,fuga
55,15,Básico,37,5,no
54,25,Básico,24,3,no
50,66,Estándar,51,1,no
24,54,Estándar,52,1,no
71,69,Básico,36,1,no
23,32,Estándar,61,1,si
30,69,Premium,88,1,no
68,38,Básico,31,2,no
26,45,Premium,84,1,no
32,71,Estándar,52,0,no
74,6,Básico,35,1,no
61,11,Estándar,50,2,si
54,52,Básico,24,3,no
35,46,Básico,29,2,no
65,13,Básico,35,3,no
49,31,Básico,12,0,no
70,70,Básico,30,0,no
74,18,Estándar,60,0,no
52,65,Premium,86,2,no
63,54,Básico,24,2,si
48,69,Estándar,79,1,no
34,28,Estándar,54,2,no
54,39,Estándar,47,0,no
67,10,Básico,26,1,no
22,17,Estándar,38,2,no
65,65,Básico,22,0,no
58,14,Básico,35,1,no
56,25,Premium,90,2,si
47,72,Básico,19,1,no
63,53,Premium,66,0,no
60,2,Básico,33,4,no
35,13,Premium,91,1,si
53,54,Básico,29,2,no
33,18,Básico,27,1,si
69,60,Premium,102,1,no
23,66,Básico,12,1,no
33,59,Básico,40,1,no
27,27,Estándar,68,2,no
26,23,Básico,40,1,si
25,16,Estándar,57,0,no
38,69,Premium,82,0,no
53,48,Básico,18,1,no
23,58,Estándar,45,0,no
55,32,Básico,38,2,no
55,30,Estándar,57,2,si
69,46,Básico,29,2,no
75,14,Básico,19,3,no
51,34,Estándar,77,0,no
40,46,Estándar,47,0,no
72,19,Básico,36,2,no
42,44,Básico,27,0,no
67,38,Básico,27,0,no
66,30,Básico,23,1,si
42,1,Básico,17,3,no
75,46,Básico,31,4,no
47,58,Premium,107,4,no
56,4,Premium,62,5,no
35,45,Estándar,61,2,si
68,4,Básico,40,4,no
32,4,Básico,39,1,si
46,23,Estándar,58,0,no
32,71,Premium,85,0,no
74,49,Estándar,70,0,no
